,,,,,,,
Целью данного проекта было составление баг-репорта на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Хедер""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
12,Карточка каждого члена жюри при наведении на нее курсора мыши не увеличивается,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",1. Выбрать карточку любого члена жюри.,Увеличение в размере карточки каждого члена жюри при наведении на нее курсора мыши,Карточка каждого члена жюри при наведении на нее курсора мыши не увеличивается,
,,,,2. Навести курсор мыши на карточку.,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Низкий,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
13,"В блоке ""Жюри"" находится 3 столбца с карточками членов жюри вместо 4",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","Проверить наличие 4 столбцов в блоке ""Жюри"" ","При просмотре блока ""Жюри"", в блоке жюри находится 4 столбца","В блоке ""Жюри""находится 3 столбца с карточками членов жюри вместо 4",
,,,,,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Низкий,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Расписание""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
14,Отсутствие докладов в каждом из табов ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",1. Выбрать таб с датой.,В каждом из табов представлены доклады в виде карточек,"В каждом из табов отсутствуют доклады в виде карточек. 
В первом дне два поля с синим фоном и аватаром собаки, под полем указан набор латинских букв, во втором дне вместо доклада представлено описание профессии докладчика, в третем дне не указано никакой информации, в четвертом дне вместо доклада указание логина и пароля в описании.",
,,,,2. Кликом мыши осуществить переход по табу.,,,
,,,,"3. Просмотреть доклад, представленный в табе.",,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Высокий ,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
15,Отсутствие фотографий спикеров в 1 и 3 днях конференции в карточках с описанием доклада,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",1. Выбрать таб с датой.,Наличие фотографии спикера на каждой из карточек доклада,Фотографии спикеров отсутствуют в 1 и 3 днях конференции,
,,,,2. Кликом мыши осуществить переход по табу.,,,
,,,,3. На каждой из карточек доклада представлена фотография спикера,,,
,Критичность,Значительная,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
16,Названия компании на карточке доклада отсутствует у каждого спикера ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",1. Выбрать таб с датой.,"Наличие названия компании, в которой работает спикер, на каждой из карточек доклада","Отсутствует название компании, в которой работает спикер, на каждой из карточек доклада. У спикеров во втором и четвертом дне указаны должности вместо названия компании.",
,,,,"2. Кликом мыши осуществить переход по табу.",,,
,,,,"3. На каждой из карточек доклада представлено название компании, в которой работает спикер",,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
17,Блоки с датой докладов отсутствуют в каждом табе,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",1. Выбрать таб с датой.,В каждом табе дня находится блок с датой доклада,Блоки с датой докладов отсутствуют в каждом табе,
,,,,2. Кликом мыши осуществить переход по табу.,,,
,,,,3. На каждой из карточек есть блок с датой доклада,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Стоимость участия""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
18,"Центральная карточка в блоке - Advanced, а не Ultimate",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Стоимость участия""",Проверить отображение центральной карточки в блоке - Ultimate,Центральная карточка в блоке - Ultimate,Центральная карточка в блоке - Advanced,
,,,,,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Низкий,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
