,,,,,
Целью данного проекта было составление тест-кейсов на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,
,,,,,
"Блок ""Хедер""",,,,,
35,Наличие докладов в каждом из табов ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. Просмотреть доклад, представленный в табе.",В каждом из табов представлены доклады в виде карточек
№,Название,,Предусловие,Шаги,Ожидаемый результат
36,Доклады в табах представлены в виде карточек,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. Просмотреть доклад, представленный в табе.
4. Доклад в каждом табе отображается в виде карточки.",В каждом из табов представлены доклады в виде карточек
№,Название,,Предусловие,Шаги,Ожидаемый результат
37,Наличие фотографии спикера на каждой из карточек доклада,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. На каждой из карточек доклада представлена фотография спикера",На каждой из карточек доклада представлена фотография спикера
№,Название,,Предусловие,Шаги,Ожидаемый результат
38,"Наличие названия компании, в которой работает спикер, на каждой из карточек доклада",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. На каждой из карточек доклада представлено название компании, в которой работает спикер","Наличие названия компании, в которой работает спикер, на каждой из карточек доклада	"
№,Название,,Предусловие,Шаги,Ожидаемый результат
39,Наличие блока с датой доклада,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Выбрать таб с датой.
2. Кликом мыши осуществить переход по табу.
3. На каждой из карточек есть блок с датой доклада",Наличие блока с датой доклада
№,Название,,Предусловие,Шаги,Ожидаемый результат
